,year,crop_name,county,harvested_acres,production,yield,key_crop_name
458,2014,CAULIFLOWER UNSPECIFIED,Orange,3.0,6.0,2.0,Cauliflower
459,2014,CAULIFLOWER UNSPECIFIED,Riverside,1010.0,8200.0,8.12,Cauliflower
460,2014,CAULIFLOWER UNSPECIFIED,San Luis Obispo,1730.0,22500.0,13.01,Cauliflower
461,2014,CAULIFLOWER UNSPECIFIED,Santa Barbara,8150.0,77400.0,9.5,Cauliflower
462,2014,CAULIFLOWER UNSPECIFIED,Sum of Others,339.0,2560.0,7.55,Cauliflower
464,2014,CELERY FOOD SERVICE,Monterey,1010.0,35000.0,34.65,Celery
466,2014,CELERY FRESH MARKET,Monterey,11600.0,403000.0,34.74,Celery
469,2014,CELERY UNSPECIFIED,Riverside,809.0,25600.0,31.64,Celery
470,2014,CELERY UNSPECIFIED,San Benito,661.0,24000.0,36.31,Celery
471,2014,CELERY UNSPECIFIED,Santa Barbara,4130.0,132000.0,31.96,Celery
472,2014,CELERY UNSPECIFIED,Santa Clara,398.0,7120.0,17.89,Celery
473,2014,CELERY UNSPECIFIED,Ventura,11000.0,389000.0,35.36,Celery
474,2014,CELERY UNSPECIFIED,Sum of Others,2017.0,23299.0,11.55,Celery
478,2014,CHERIMOYAS,Sum of Others,1.0,1.0,1.0,No Match
480,2014,CHERRIES SWEET,Contra Costa,494.0,489.0,0.99,Cherries
482,2014,CHERRIES SWEET,Fresno,3160.0,2780.0,0.88,Cherries
483,2014,CHERRIES SWEET,Kern,5180.0,4300.0,0.83,Cherries
484,2014,CHERRIES SWEET,Kings,1540.0,1670.0,1.08,Cherries
485,2014,CHERRIES SWEET,Madera,480.0,202.0,0.42,Cherries
486,2014,CHERRIES SWEET,Riverside,50.0,116.0,2.32,Cherries
487,2014,CHERRIES SWEET,Sacramento,1230.0,1030.0,0.84,Cherries
488,2014,CHERRIES SWEET,San Benito,576.0,605.0,1.05,Cherries
489,2014,CHERRIES SWEET,San Joaquin,20500.0,23600.0,1.15,Cherries
490,2014,CHERRIES SWEET,Santa Clara,748.0,524.0,0.7,Cherries
491,2014,CHERRIES SWEET,Stanislaus,3500.0,3640.0,1.04,Cherries
492,2014,CHERRIES SWEET,Tulare,2260.0,1150.0,0.51,Cherries
493,2014,CHERRIES SWEET,Sum of Others,113.0,219.0,1.94,Cherries
507,2014,CHIVES,Sum of Others,19.0,238.0,12.53,Cherries
526,2014,CILANTRO,Monterey,1570.0,8280.0,5.27,No Match
527,2014,CILANTRO,Ventura,3300.0,24400.0,7.39,No Match
528,2014,CILANTRO,Sum of Others,1153.0,8226.0,7.13,No Match
534,2014,CITRUS UNSPECIFIED,Butte,224.0,1370.0,6.12,Citrus
535,2014,CITRUS UNSPECIFIED,Fresno,1330.0,16800.0,12.63,Citrus
536,2014,CITRUS UNSPECIFIED,Glenn,310.0,124.0,0.4,Citrus
537,2014,CITRUS UNSPECIFIED,Riverside,333.0,3000.0,9.01,Citrus
539,2014,CITRUS UNSPECIFIED,Sum of Others,21.0,532.0,25.33,Citrus
541,2014,COLLARD GREENS,Sum of Others,96.0,2566.0,26.73,Greens
543,2014,CORN GRAIN,Colusa,1350.0,7550.0,5.59,Corn
544,2014,CORN GRAIN,Contra Costa,2660.0,11200.0,4.21,Corn
545,2014,CORN GRAIN,Glenn,17800.0,109000.0,6.12,Corn
546,2014,CORN GRAIN,Madera,600.0,4530.0,7.55,Corn
547,2014,CORN GRAIN,Merced,14200.0,85000.0,5.99,Corn
548,2014,CORN GRAIN,Sacramento,21600.0,112000.0,5.19,Corn
549,2014,CORN GRAIN,San Joaquin,53000.0,248000.0,4.68,Corn
550,2014,CORN GRAIN,Solano,10300.0,51700.0,5.02,Corn
